username,handle,tweet_text,time
Carl G Herrick,@HerrickCarlG,"@directvnow Really, cutting these stations? Looks like I’m cutting my ties with you, this is a deal breaker. @Sling will be my new provider, be like them. Looks like the #timewarner deal hurts customers. #att #sling #DirecTVNow #lostcustomer #baddeal",2019-03-14T10:24:12.000Z
Oppression.org,@OppressionOrg,Protests against #SaudiArabia #MBS held in front of Saudi owned #TimeWarner Building @CNN for the beheading of #Shia minorities and activists #Yemen #SaudiBeheads37,2019-04-28T02:11:04.000Z
Hollman Lockers,@HollmanLockers,Cheers to @hudsonyards on the grand opening! We are proud to be apart of the @hudsonyards family and trusted by #TimeWarner #CNN #Equinox #GroupM for lockers!#SeeYouAtHudsonYards #HelloHudsonYards #HollmanLockers #workspaceLockers #officespacelockers #fitnesslockers#lockers,2019-03-15T23:49:44.000Z
Diana's 2 Sense,@DianaHollins,This should be a huge deal. The media better get on this. #Trump #TimeWarner GaryCohn,2019-03-04T14:47:37.000Z
Team Perimeter Pointe,@team_perimeter,@gsc_cbg Perimeter proudly supports the Shift app! #whyishift #lifeatatt #perimeterpointe #lifeatatt #5gnetwork #dunwoodyga #gscunitedforce #cbg212 #VVBCx #attFiber #DirectTV #DTVnow #TimeWarner #iphone #samsung… https://instagram.com/p/B2R6cR_gZqS/?igshid=81qoua8uiq3q…,2019-09-11T17:49:22.000Z
Igor Vasilchikov,@vasilchikov,"#spectrum #timewarner internet is terrible here in Austin TX near Pioneer crossing, we had 6 outages in two weeks every time they tell me my router is at fault (which is 3 month old), then 5 min later after the call it comes back up and works another few days.",2019-09-18T02:48:47.000Z
Freedom from Deep State - TEXT TRUMP 88022,@CalFreedomMom,"#CNN debating whether to cover President’s Oval Office address to American people on Tuesday night.So deep is their hatred of Trump that they’re willing to continue hiding truth from the American people.It’s unAmericanTime to ban their corp parent, #TimeWarner @TWCGR",2019-01-07T23:36:16.000Z
John From Wrigleyville,@johnfromwrigley,.@NBAonTNT I’d say I’d be surprisedbut since you and @att are under the same umbrella...cc: #TimeWarner (get a Twitter btw) It makes total sense Stop advertising something that isn’t even a real product. It’s fake. Until 50% of the country can access 5G - it’s bullshit.,2020-02-16T03:07:19.000Z
Oppression.org,@OppressionOrg,Protests against #SaudiArabia #MBS held in front of Saudi owned #TimeWarner Building @CNN for the beheading of #Shia minorities and activists #Yemen #SaudiBeheads37,2019-04-28T02:11:04.000Z
Hollman Lockers,@HollmanLockers,Cheers to @hudsonyards on the grand opening! We are proud to be apart of the @hudsonyards family and trusted by #TimeWarner #CNN #Equinox #GroupM for lockers!#SeeYouAtHudsonYards #HelloHudsonYards #HollmanLockers #workspaceLockers #officespacelockers #fitnesslockers#lockers,2019-03-15T23:49:44.000Z
#GetWoke,@MakeItPlain,#Trump asked #GaryCohn to block #ATT #TimeWarner mergerhttps://cnn.com/2019/03/04/media/att-time-warner-trump-gary-cohn/index.html… #GetWoke #Politics #JohnKelly  #TrumpCriminalEnterprise #WhiteHouse #21stCenturyFox #CNN,2019-03-04T17:21:49.000Z
Neias N more,@NeiasNmore,"Morning meeting at #BouchonBakery. View of Columbus Circle, looking east at Central Park South from inside the #TimeWarner Center. What's everybody up to this Sunday?..#columbuscircle #centralpark #centralparknyc #manhattan #NYC #NewYorkCity #NewYork https://instagram.com/p/BxpNPFaFAou/?igshid=166bt5ic46kzq…",2019-05-19T12:54:01.000Z
The Dept. of Cinematic Arts & Television CAMPAIGN,@HUfilm1971,"Join the #BlackFilmMovement: http://bit.ly/HUfilm1971#LArebellion @JulieDash, a pioneer for African American woman directors with her film #DaughtersOfTheDust recognized as a national treasure. Dash is a former #TimeWarner Visiting Professor @HowardU. #HUfilm1971",2019-01-05T01:57:21.000Z
Sarah Says...,@SarahSaysS0,"My cable just went out and I’m so annoyed. #TimeWarner better get it together in the next 28 minutes. Watching #RHOBH on my phone ain’t gonna cut it. Weekly problems, honestly.",2019-04-17T00:32:53.000Z
